SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET HO (peildatum 1 oktober 2011);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PB;wo;gezondheidszorg;546;Leiden;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PC;wo;natuur;14;Groningen;2
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PC;wo;techniek;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PC;wo;gezondheidszorg;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PD;wo;gedrag en maatschappij;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PF;wo;techniek;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;2
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PK;wo;natuur;363;Amsterdam;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PM;wo;natuur;268;Nijmegen;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;3
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;gezondheidszorg;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;economie;2020;Duitsland;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PI;wo;landbouw en natuurlijke omgeving;228;Ede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PL;wo;taal en cultuur;362;Amstelveen;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PM;wo;recht;268;Nijmegen;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PC;wo;recht;14;Groningen;4
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gezondheidszorg;153;Enschede;2
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;economie;153;Enschede;4
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PI;wo;landbouw en natuurlijke omgeving;289;Wageningen;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PK;wo;gedrag en maatschappij;363;Amsterdam;1
00AH;0;153;Enschede;vwo;diploma;cul/maat;21PL;wo;recht;168;Losser;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;natuur;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PC;wo;natuur;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PC;wo;gezondheidszorg;14;Groningen;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PC;wo;economie;14;Groningen;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PC;wo;taal en cultuur;14;Groningen;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PD;wo;sectoroverstijgend;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PG;wo;techniek;772;Eindhoven;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;3
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PH;wo;gezondheidszorg;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PL;wo;gezondheidszorg;363;Amsterdam;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PM;wo;gezondheidszorg;268;Nijmegen;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;3
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;natuur;547;Leiderdorp;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;312;Bunnik;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;techniek;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;gedrag en maatschappij;173;Oldenzaal;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PM;wo;gezondheidszorg;1734;Overbetuwe;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PC;wo;economie;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PC;wo;recht;14;Groningen;2
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PC;wo;taal en cultuur;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PD;wo;economie;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PH;wo;economie;173;Oldenzaal;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;141;Almelo;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;153;Enschede;2
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PK;wo;recht;384;Diemen;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PB;wo;taal en cultuur;579;Oegstgeest;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PD;wo;taal en cultuur;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PH;wo;gedrag en maatschappij;153;Enschede;2
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PK;wo;taal en cultuur;363;Amsterdam;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PM;wo;taal en cultuur;268;Nijmegen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;recht;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PD;wo;gedrag en maatschappij;312;Bunnik;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PD;wo;taal en cultuur;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PH;wo;economie;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PM;wo;recht;153;Enschede;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PD;wo;natuur;363;Amsterdam;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;2
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PG;wo;techniek;715;Terneuzen;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PG;wo;techniek;770;Eersel;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PG;wo;techniek;772;Eindhoven;4
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PH;wo;gezondheidszorg;153;Enschede;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PI;wo;landbouw en natuurlijke omgeving;289;Wageningen;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PM;wo;natuur;268;Nijmegen;2
00AQ;0;1714;Sluis;vwo;diploma;nat/tech;21PM;wo;gezondheidszorg;268;Nijmegen;1
00AQ;0;1714;Sluis;vwo;diploma;nat/gezond;21PB;wo;gezondheidszorg;546;Leiden;1
00AQ;0;1714;Sluis;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;344;Utrecht;1
00AQ;0;1714;Sluis;vwo;diploma;nat/gezond;21PF;wo;techniek;503;Delft;1
00AQ;0;1714;Sluis;vwo;diploma;nat/gezond;21PK;wo;natuur;363;Amsterdam;1
00AQ;0;1714;Sluis;vwo;diploma;nat/gezond;21PM;wo;gedrag en maatschappij;268;Nijmegen;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PD;wo;recht;355;Zeist;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PD;wo;gedrag en maatschappij;355;Zeist;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PK;wo;economie;392;Haarlem;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PN;wo;economie;715;Terneuzen;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PN;wo;economie;855;Tilburg;3
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PN;wo;recht;855;Tilburg;1
00AQ;0;1714;Sluis;vwo;diploma;ec/maat;21PN;wo;gedrag en maatschappij;855;Tilburg;2
00AQ;0;1714;Sluis;vwo;diploma;cul/maat;21PD;wo;gedrag en maatschappij;355;Zeist;1
00AQ;0;1714;Sluis;vwo;diploma;cul/maat;21PE;wo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;vwo;diploma;cul/maat;21PJ;wo;gedrag en maatschappij;935;Maastricht;1
00AQ;0;1714;Sluis;vwo;diploma;cul/maat;21PK;wo;taal en cultuur;1714;Sluis;1
00AQ;0;1714;Sluis;vwo;diploma;cul/maat;21PM;wo;taal en cultuur;1714;Sluis;1
00AQ;0;1714;Sluis;vwo;diploma;nat/tech & nat/gezond;21PG;wo;techniek;772;Eindhoven;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech;21PF;wo;techniek;499;Boskoop;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech;21PF;wo;techniek;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/gezond;21PB;wo;gezondheidszorg;499;Boskoop;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/gezond;21PB;wo;recht;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/gezond;21PE;wo;gezondheidszorg;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/gezond;21PE;wo;gedrag en maatschappij;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/gezond;21PK;wo;gezondheidszorg;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/gezond;21PL;wo;gezondheidszorg;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/gezond;21PL;wo;gezondheidszorg;1672;Rijnwoude;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat;21PB;wo;recht;499;Boskoop;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat;21PD;wo;gedrag en maatschappij;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat;21PE;wo;gezondheidszorg;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat;21PE;wo;economie;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat;21PE;wo;gedrag en maatschappij;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat;21PJ;wo;gedrag en maatschappij;935;Maastricht;1
00BD;0;627;Waddinxveen;vwo;diploma;cul/maat;21PD;wo;taal en cultuur;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PB;wo;natuur;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PE;wo;economie;599;Rotterdam;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PE;wo;economie;627;Waddinxveen;2
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PE;wo;economie;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;499;Boskoop;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;627;Waddinxveen;6
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PI;wo;landbouw en natuurlijke omgeving;289;Wageningen;1
00BD;0;627;Waddinxveen;vwo;diploma;nat/tech & nat/gezond;21PL;wo;economie;595;Reeuwijk;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat & cul/maat;21PB;wo;gedrag en maatschappij;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat & cul/maat;21PB;wo;gedrag en maatschappij;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat & cul/maat;21PD;wo;recht;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat & cul/maat;21PD;wo;taal en cultuur;627;Waddinxveen;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat & cul/maat;21PE;wo;gezondheidszorg;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat & cul/maat;21PE;wo;economie;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat & cul/maat;21PE;wo;recht;499;Boskoop;1
00BD;0;627;Waddinxveen;vwo;diploma;ec/maat & cul/maat;21PE;wo;recht;627;Waddinxveen;1
00CB;0;268;Nijmegen;vwo;diploma;nat/tech;21PD;wo;natuur;344;Utrecht;1
00CB;0;268;Nijmegen;vwo;diploma;nat/tech;21PD;wo;gezondheidszorg;353;IJsselstein;1
00CB;0;268;Nijmegen;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;1
00CB;0;268;Nijmegen;vwo;diploma;nat/tech;21PL;wo;gedrag en maatschappij;363;Amsterdam;1
00CB;0;268;Nijmegen;vwo;diploma;ec/maat;21PD;wo;gedrag en maatschappij;202;Arnhem;1
00CB;0;268;Nijmegen;vwo;diploma;ec/maat;21PD;wo;taal en cultuur;344;Utrecht;1
00CB;0;268;Nijmegen;vwo;diploma;ec/maat;21PK;wo;taal en cultuur;362;Amstelveen;1
00CB;0;268;Nijmegen;vwo;diploma;ec/maat;21PL;wo;natuur;362;Amstelveen;1
00CB;0;268;Nijmegen;vwo;diploma;ec/maat;21PM;wo;recht;268;Nijmegen;1
00CB;0;268;Nijmegen;vwo;diploma;ec/maat;23BF;wo;taal en cultuur;274;Renkum;1
00CB;0;268;Nijmegen;vwo;diploma;ec/maat;23BF;wo;taal en cultuur;796;s-Hertogenbosch;1
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PB;wo;gezondheidszorg;546;Leiden;1
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PC;wo;gezondheidszorg;14;Groningen;1
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PD;wo;gedrag en maatschappij;344;Utrecht;1
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PD;wo;gedrag en maatschappij;355;Zeist;1
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PF;wo;techniek;355;Zeist;1
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;3
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PI;wo;landbouw en natuurlijke omgeving;289;Wageningen;2
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PK;wo;natuur;384;Diemen;1
00CB;1;355;Zeist;vwo;diploma;nat/tech;21PM;wo;natuur;307;Amersfoort;1
00CB;1;355;Zeist;vwo;diploma;nat/tech;23BF;wo;taal en cultuur;1581;Utrechtse Heuvelrug;1
00CB;1;355;Zeist;vwo;diploma;nat/gezond;21PC;wo;taal en cultuur;14;Groningen;1
00CB;1;355;Zeist;vwo;diploma;ec/maat;21PB;wo;gedrag en maatschappij;546;Leiden;1
00CB;1;355;Zeist;vwo;diploma;ec/maat;21PD;wo;economie;355;Zeist;1
00CB;1;355;Zeist;vwo;diploma;ec/maat;21PD;wo;recht;307;Amersfoort;1
