SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET HO (peildatum 1 oktober 2014);;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;ENSCHEDE;havo;geen diploma;ec/maat;23AH;HBO;economie;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;geen diploma;nat/tech & nat/gezond;23AH;HBO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech;23AH;HBO;techniek;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;01VU;HBO;gedrag en maatschappij;168;Losser;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;economie;153;Enschede;4
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;economie;168;Losser;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gedrag en maatschappij;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;4
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gezondheidszorg;1742;Rijssen-Holten;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;onderwijs;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;techniek;153;Enschede;7
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;25BE;HBO;gezondheidszorg;14;Groningen;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;25DW;HBO;gezondheidszorg;344;Utrecht;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;25KB;HBO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;27NF;HBO;taal en cultuur;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;30HD;HBO;landbouw en natuurlijke omgeving;275;Rheden;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;01VU;HBO;onderwijs;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;153;Enschede;16
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;168;Losser;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;6
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;gezondheidszorg;168;Losser;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;onderwijs;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;techniek;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;25BE;HBO;gezondheidszorg;14;Groningen;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;25DW;HBO;onderwijs;355;Zeist;1
