BRIN NUMMER;GEMEENTENAAM;
21WN;LEEUWARDEN;
22EX;LEEUWARDEN;
25BA;EDE;
30TX;EDE;
27NF;ARNHEM;
30HD;RHEDEN;
09OT;DOETINCHEM;
25KB;ARNHEM;
25BE;GRONINGEN;
25JX;HEERLEN;
07GR;TILBURG;
21UI;BREDA;
21CW;S HERTOGENBOSCH;
30GB;EINDHOVEN;
08OK;HELMOND;
02NT;EINDHOVEN;
02BY;AMSTERDAM;
21QA;AMSTERDAM;
21UG;AMSTERDAM;
28DN;AMSTERDAM;
00IC;ZWOLLE;
22HH;ZWOLLE;
23AH;ENSCHEDE;
01VU;ZWOLLE;
00MF;UTRECHT;
25DW;UTRECHT;
10IZ;UTRECHT;
21MI;VLISSINGEN;
14NI;ROTTERDAM;
21RI;LEIDEN;
22OJ;ROTTERDAM;
23KJ;S GRAVENHAGE;
15BK;GOUDA;
27PZ;ROTTERDAM;
27UM;S GRAVENHAGE;
30VP;ROTTERDAM;
02NR;S GRAVENHAGE;
21PI;WAGENINGEN;
21QO;APELDOORN;
21PM;NIJMEGEN;
21PC;GRONINGEN;
21PJ;MAASTRICHT;
22NC;HEERLEN;
21PG;EINDHOVEN;
21PN;TILBURG;
00DV;AMSTERDAM;
21PK;AMSTERDAM;
21PL;AMSTERDAM;
21PH;ENSCHEDE;
25AV;KAMPEN;
21PD;UTRECHT;
23BF;UTRECHT;
21PE;ROTTERDAM;
21PF;DELFT;
21PB;LEIDEN;
