SCHOOLJAAR 2012-2013 IN HET VO (peildatum 1 oktober 2012);;;;;;;SCHOOLJAAR 2013-2014 IN HET HO (peildatum 1 oktober 2013);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;ENSCHEDE;havo;geen diploma;nat/tech & nat/gezond;28DN;HBO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech;23AH;HBO;onderwijs;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech;23AH;HBO;techniek;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech;25KB;HBO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;01VU;HBO;onderwijs;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;21QA;HBO;taal en cultuur;363;Amsterdam;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;economie;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gedrag en maatschappij;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;6
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;onderwijs;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;techniek;153;Enschede;3
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;25BE;HBO;onderwijs;14;Groningen;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;25KB;HBO;gedrag en maatschappij;268;Nijmegen;2
00AH;0;153;ENSCHEDE;havo;diploma;nat/gezond;30GB;HBO;taal en cultuur;855;Tilburg;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;00MF;HBO;economie;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;153;Enschede;16
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;168;Losser;2
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;onderwijs;153;Enschede;3
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;techniek;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;25DW;HBO;economie;344;Utrecht;2
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;25JX;HBO;economie;935;Maastricht;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;27PZ;HBO;onderwijs;363;Amsterdam;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;28DN;HBO;economie;363;Amsterdam;2
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat;28DN;HBO;economie;546;Leiden;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;01VU;HBO;economie;193;Zwolle;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;economie;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;gedrag en maatschappij;164;Hengelo;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;gezondheidszorg;168;Losser;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;onderwijs;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;25BE;HBO;gedrag en maatschappij;14;Groningen;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;25BE;HBO;gezondheidszorg;14;Groningen;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;25BE;HBO;taal en cultuur;363;Amsterdam;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;25KB;HBO;gezondheidszorg;268;Nijmegen;1
00AH;0;153;ENSCHEDE;havo;diploma;cul/maat;27NF;HBO;onderwijs;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;01VU;HBO;onderwijs;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;economie;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;2
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;techniek;153;Enschede;6
00AH;0;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;27UM;HBO;techniek;518;s-Gravenhage;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat & cul/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;havo;diploma;ec/maat & cul/maat;28DN;HBO;techniek;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech;21PF;WO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech;21PH;WO;sectoroverstijgend;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech;21PH;WO;techniek;153;Enschede;2
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech;27NF;HBO;taal en cultuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PC;WO;natuur;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PC;WO;taal en cultuur;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PD;WO;gezondheidszorg;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PH;WO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PK;WO;gezondheidszorg;384;Diemen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PL;WO;gezondheidszorg;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PM;WO;taal en cultuur;268;Nijmegen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21QA;HBO;taal en cultuur;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;25KB;HBO;techniek;202;Arnhem;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PC;WO;economie;14;Groningen;3
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PC;WO;taal en cultuur;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PH;WO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PM;WO;economie;268;Nijmegen;2
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PM;WO;taal en cultuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;cul/maat;21PB;WO;taal en cultuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;cul/maat;25BE;HBO;taal en cultuur;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;14NI;HBO;taal en cultuur;599;Rotterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;gezondheidszorg;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PE;WO;gezondheidszorg;622;Vlaardingen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;gezondheidszorg;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;techniek;153;Enschede;4
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PJ;WO;sectoroverstijgend;935;Maastricht;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PK;WO;natuur;362;Amstelveen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PK;WO;natuur;384;Diemen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;gedrag en maatschappij;268;Nijmegen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;gezondheidszorg;268;Nijmegen;2
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;natuur;268;Nijmegen;2
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;25BE;HBO;taal en cultuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PC;WO;economie;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PD;WO;gedrag en maatschappij;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PM;WO;gedrag en maatschappij;268;Nijmegen;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;25KB;HBO;economie;268;Nijmegen;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/tech;23AH;HBO;techniek;153;Enschede;4
00AH;7;153;ENSCHEDE;havo;diploma;nat/tech;25DW;HBO;gedrag en maatschappij;344;Utrecht;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gedrag en maatschappij;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;23AH;HBO;onderwijs;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;25KB;HBO;gedrag en maatschappij;268;Nijmegen;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;25KB;HBO;gezondheidszorg;262;Lochem;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/gezond;27PZ;HBO;techniek;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;01VU;HBO;economie;269;Oldebroek;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;01VU;HBO;gedrag en maatschappij;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;01VU;HBO;onderwijs;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;21MI;HBO;sectoroverstijgend;718;Vlissingen;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;153;Enschede;18
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;economie;1859;Berkelland;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;4
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;onderwijs;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;23AH;HBO;techniek;153;Enschede;4
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat;27NF;HBO;taal en cultuur;193;Zwolle;1
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;economie;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;gezondheidszorg;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;23AH;HBO;techniek;153;Enschede;2
00AH;7;153;ENSCHEDE;havo;diploma;cul/maat;25DW;HBO;economie;344;Utrecht;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;nat/tech & nat/gezond;23AH;HBO;techniek;153;Enschede;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat & cul/maat;07GR;HBO;economie;796;s-Hertogenbosch;1
00AH;7;153;ENSCHEDE;havo;diploma;ec/maat & cul/maat;27NF;HBO;taal en cultuur;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;geen diploma;ec/maat;23AH;HBO;economie;153;Enschede;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;21PH;WO;gedrag en maatschappij;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;21PK;WO;gezondheidszorg;363;Amsterdam;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;21PL;WO;gezondheidszorg;518;s-Gravenhage;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;23AH;HBO;techniek;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/gezond;25KB;HBO;gedrag en maatschappij;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PB;WO;gedrag en maatschappij;546;Leiden;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PC;WO;economie;14;Groningen;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PC;WO;gedrag en maatschappij;14;Groningen;2
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PE;WO;economie;599;Rotterdam;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PE;WO;taal en cultuur;599;Rotterdam;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PH;WO;economie;153;Enschede;2
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PK;WO;taal en cultuur;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PM;WO;recht;268;Nijmegen;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;163;Hellendoorn;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;168;Losser;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;183;Tubbergen;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;189;Wierden;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;25JX;HBO;economie;935;Maastricht;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PB;WO;sectoroverstijgend;518;s-Gravenhage;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PB;WO;taal en cultuur;546;Leiden;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PD;WO;taal en cultuur;344;Utrecht;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PM;WO;gedrag en maatschappij;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;gezondheidszorg;14;Groningen;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;recht;14;Groningen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;gezondheidszorg;344;Utrecht;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;natuur;344;Utrecht;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PF;WO;techniek;503;Delft;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;techniek;153;Enschede;3
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PI;WO;landbouw en natuurlijke omgeving;228;Ede;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PL;WO;sectoroverstijgend;363;Amsterdam;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;gedrag en maatschappij;202;Arnhem;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;gezondheidszorg;268;Nijmegen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;natuur;268;Nijmegen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;25KB;HBO;gezondheidszorg;240;Groenlo;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PB;WO;recht;579;Oegstgeest;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PD;WO;gedrag en maatschappij;344;Utrecht;2
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PE;WO;taal en cultuur;599;Rotterdam;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech;07GR;HBO;techniek;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech;21MI;HBO;techniek;1714;Sluis;2
00AQ;0;1714;SLUIS;havo;diploma;nat/tech;21UI;HBO;techniek;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;07GR;HBO;gezondheidszorg;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;21MI;HBO;gezondheidszorg;1714;Sluis;4
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;21MI;HBO;techniek;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;22OJ;HBO;gezondheidszorg;599;Rotterdam;1
